cat,target,rp
READING MATERIALS,BOOKLET,B _ _ _ _ _ _
GEOGRAPHY TERMS,PLAIN,P _ _ _ _
INSECTS,MOSQUITO,M _ _ _ _ _ _ _
SHIPS,SUBMARINE,S _ _ _ _ _ _ _ _
VEGETABLES,RADISH,R _ _ _ _ _
COLORS,VIOLET,V _ _ _ _ _
SEASONINGS,NUTMEG,N _ _ _ _ _
INSTRUMENTS,TAMBOURINE,T _ _ _ _ _ _ _ _ _
FABRICS,LACE,L _ _ _
DWELLINGS,HOTEL,H _ _ _ _
FRUIT,APRICOT,A _ _ _ _ _ _
FURNITURE,OTTOMAN,O _ _ _ _ _ _
BUILDING PARTS,ENTRANCE,E _ _ _ _ _ _ _
CARPENTRY TOOLS,CHISEL,C _ _ _ _ _
FOOTBALL TEAMS,GIANTS,G _ _ _ _ _
COUNTRIES,IRELAND,I _ _ _ _ _ _
ELEMENTS,ZINC,Z _ _ _
CAR MODELS,FERRARI,F _ _ _ _ _ _